,id,Country,Year,Population,indexreg,sdg1_wpc,sdg1_320pov,sdg1_oecdpov,sdg2_undernsh,sdg2_stuntihme,sdg2_wasteihme,sdg2_obesity,sdg2_trophic,sdg2_crlyld,sdg2_snmi,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg3_region,sdg3_incomeg,sdg3_smoke,sdg4_earlyedu,sdg4_primary,sdg4_second,sdg4_literacy,sdg4_tertiary,sdg4_pisa,sdg4_socioec,sdg4_science,sdg5_fplmodel,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg6_water,sdg6_sanita,sdg6_safewat,sdg6_safesan,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_ren,sdg8_accounts,sdg8_unemp,sdg8_rights,sdg8_impacc,sdg8_empop,sdg8_yneet,sdg9_intuse,sdg9_mobuse,sdg9_lpi,sdg9_articles,sdg9_rdex,sdg9_rdres,sdg9_patents,sdg9_netacc,sdg9_womensci,sdg10_gini,sdg10_palma,sdg10_elder,sdg11_slums,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg11_rentover,sdg12_nprod,sdg12_nimport,sdg12_explastic,sdg12_mswrecycl,sdg13_co2gcp,sdg13_co2import,sdg13_ecr,sdg14_cpma,sdg14_cleanwat,sdg14_fishstocks,sdg14_trawl,sdg14_discard,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg16_homicides,sdg16_detain,sdg16_safe,sdg16_prs,sdg16_cpi,sdg16_rsf,sdg16_justice,sdg16_prison,sdg17_govex,sdg17_oda,sdg17_govrev,sdg17_sprofits,sdg17_statperf
997,CUB,Cuba,2008,11236975.0,LAC,,,,2.5,,,20.8,2.224,2.674,1.022,40.0,3.1,6.7,8.4,0.18,17.3,9.16,,50.8,99.9,95.0,,,,,,98.907,97.01,96.477,,,,,,86.9,,60.902,43.16,,94.267,88.745,,,97.245,75.35,1.639,13.072,,1.58,,0.235,,,12.94,0.0,,0.158,0.501,,,,,,,,,,84.103,,,,,,,2.501,,,51.475,,10.26,,0.03,35.37,61.763,0.677,,4.58,,,,,,,,24.352,,,,
1020,CYP,Cyprus,2008,1081568.0,E. Europe & C. Asia,,,,6.4,,,19.1,2.403,0.176,1.072,9.0,2.1,3.7,5.1,1.0,11.2,9.8,,6.3,97.2,87.0,,,,,,99.886,99.585,99.675,,,,,,,,76.403,14.286,,99.843,99.615,,,100.0,100.0,1.596,3.633,,3.65,,1.746,,,42.31,,,0.864,0.386,,,,,31.7,,,,,99.817,,,,,,,8.057,,,35.593,,57.98,0.463,16.881,54.735,9.033,0.993,,0.83,18.098,,,,,,,9.225,0.17,,,
1043,CZE,Czech Republic,2008,10425267.0,OECD,,,5.9,2.5,,,23.2,2.371,5.363,0.452,5.0,1.9,3.7,8.9,1.0,18.31,10.64,,11.6,99.6,97.0,,,3.65,30.5,21.8,98.421,99.347,94.99,,17.675,,,,80.3,,72.317,15.5,17.873,99.845,99.138,97.151,73.764,100.0,100.0,1.481,5.562,,,,0.927,66.55,10.877,62.97,,,1.333,1.239,5.723,2.583,65.279,30.917,26.3,0.91,4.6,0.0,,99.256,,,,,,0.735,11.798,,,,,,,,90.179,78.212,0.969,,1.09,11.716,,,,,,196.657,8.854,0.12,,,
1066,DNK,Denmark,2008,5497731.0,OECD,,,,2.5,,,16.7,2.43,6.017,0.385,6.0,2.8,4.4,6.9,0.04,14.15,7.62,,4.4,,87.0,,8.0,2.7,16.3,23.0,94.223,99.351,99.215,,36.165,,,,86.4,,85.051,37.989,10.184,100.0,99.597,95.975,87.253,100.0,100.0,1.354,16.824,,,,2.141,76.325,7.583,85.02,19.192,,2.601,2.773,12.115,62.439,42.199,36.461,25.2,,,0.0,,100.0,53.0,,,,,1.183,9.317,,,86.543,,52.092,41.499,2.637,88.683,99.48,0.976,,,34.28,,,,,,62.771,15.467,0.82,,,
1089,DJI,Djibouti,2008,816361.0,Sub-Saharan Africa,,,,23.4,,,11.2,2.241,1.781,1.18,320.0,39.0,81.2,564.0,0.55,22.43,27.44,,,,73.0,,5.0,,,,6.155,48.019,22.596,,,,,,33.1,,33.217,13.846,,75.58,52.347,,,56.196,5.7,1.564,,,27.305,,0.166,,,2.26,,,0.01,,,,,,,,,,,93.676,75.0,,,,,,0.61,,,0.0,,,,,0.0,0.0,0.84,,,,,,,,,,10.238,,,,
1112,DMA,Dominica,2008,70829.0,LAC,,,,4.1,,,23.4,2.317,1.438,1.106,,17.8,22.3,21.0,,,,,,100.0,96.0,,,,,,,83.934,79.241,,,,,,,,,18.75,,94.809,74.088,,,90.9,83.9,1.981,,,,,,,,41.16,0.0,,0.099,,,,,,,,,,,,,,,,,,2.328,,,0.0,,,90.991,26.453,33.334,,0.69,,9.88,19.574,,,,,,,6.644,,,,
1135,DOM,Dominican Republic,2008,9458079.0,LAC,,,,16.0,,,21.5,2.301,4.469,1.073,92.0,24.0,35.5,57.0,0.41,16.89,25.94,,,,82.0,,4.8,,,,70.913,88.132,85.729,,,,,,82.8,,56.833,19.663,,93.798,81.472,,,97.576,87.1,1.593,12.922,,4.76,,0.132,,,20.82,0.443,,0.007,,,,,,48.1,,,,,85.471,56.0,,,,,,2.15,,,59.559,,3.13,,,70.672,95.45,0.75,,25.31,,,,,,,,4.168,,15.513,,
1158,_E_S_Asia,East and South Asia,2008,,,,,,11.374,,,3.52,2.211,4.071,0.789,150.1159973,22.467,42.412,206.564,0.511,22.396,18.544,,31.635,72.382,83.29199982,,4.921,,,,,96.012,80.324,,,,,,67.646,,59.259,15.497,,86.249,56.157,,,83.472,39.35,1.934,22.829,,4.57,,0.125,,,12.81,,,0.101,,,,,,,,,,,73.029,66.578,,,,,,2.928,,,14.67,,12.789,37.17,3.207,17.61,16.125,0.766,,2.694,,,,,,,,3.803,,12.698,,
1181,_E_Euro_Asia,Eastern Europe and Central Asia,2008,,,,,,5.447,,,17.904,2.319,2.797,0.616,105.9430008,11.723,22.623,105.284,0.53,31.619,21.116,,34.996,93.486,92.38700104,,,,,,77.253,95.838,78.032,,,,,,,,73.841,15.584,,90.745,85.123,,,95.491,86.142,2.158,5.758,,7.423,,0.293,,,22.565,,,0.201,0.727,,,,,,,,,,87.371,59.315,,,,,,7.713,,,,,,,,24.799,24.92,0.932,,7.596,15.587,,,,,,,7.326,,,,
1204,ECU,Ecuador,2008,14535740.0,LAC,,,,21.3,,,16.4,2.401,2.98,1.012,82.0,9.7,20.8,42.0,0.17,13.96,19.9,,,84.0,96.0,,5.3,,,,,94.528,,98.454,,,,,77.6,,63.923,25.0,,88.097,78.088,,,97.207,93.5,1.582,14.197,,3.92,,0.148,,,18.8,,,0.027,0.228,,,,,49.8,,,,,89.982,67.0,,,,,,2.035,,,60.692,,20.114,,3.053,22.627,40.984,0.734,,17.94,,,,,,,,3.25,,,,
1227,EGY,"Egypt, Arab Rep.",2008,79636081.0,MENA,,,,5.6,,,26.7,2.16,7.452,0.642,45.0,16.7,31.3,19.0,0.0,29.4,13.17,,50.0,78.9,92.0,,4.6,,,,,,,,,,,,,,30.025,1.81,,98.541,93.715,,,99.8,98.3,1.464,6.014,,8.52,,0.111,,,18.01,,,0.082,0.27,,,,,31.1,,,,,98.803,64.0,,,,,,2.446,,,40.075,,29.53,43.149,12.56,37.937,28.489,0.941,,1.21,,,,,,,,5.297,,27.624,,
1250,SLV,El Salvador,2008,6131767.0,LAC,,,,9.9,,,20.0,2.295,2.905,1.006,57.0,10.1,21.4,35.0,0.28,10.35,28.38,,,95.5,95.0,,5.2,,,,79.669,,70.408,95.957,,,,,78.0,,58.624,16.667,,87.134,83.457,,,91.0,73.6,0.984,50.26,,5.88,,0.41,,,10.08,,,0.007,0.134,,,,,46.9,,,,,92.046,65.0,,,,,,1.045,,,15.316,,66.08,9.77,17.696,12.911,48.63,0.823,,51.84,34.803,,,,,,,8.596,,24.441,,
1273,GNQ,Equatorial Guinea,2008,860839.0,Sub-Saharan Africa,,,,,,,5.8,,,1.021,314.0,36.9,119.7,209.0,1.0,22.88,19.17,,177.0,,45.0,,,,,,,47.101,,,,,,,26.4,,82.897,6.0,,58.184,62.178,,,,21.8,18.572,2.644,,8.496,,,,,1.82,0.0,,0.007,,,,,,,,,,,37.077,,,,,,,7.108,,,100.0,,24.01,25.435,0.127,99.997,,0.801,,,,,,,,,,2.486,,34.506,,
1296,ERI,Eritrea,2008,3062782.0,Sub-Saharan Africa,,,,,,,3.4,,0.252,1.011,605.0,23.2,59.4,160.0,0.28,30.4,33.89,,76.0,,91.0,,,,,,35.885,74.99,48.741,86.975,,,,,21.5,,86.13,22.0,,49.649,10.834,,,37.737,7.3,1.431,80.507,,5.172,,0.02,,,0.47,,,0.008,,,,,,,,,,,68.2,,,,,,,0.134,,,0.0,,36.22,,,13.337,0.025,0.922,,,,,,,,,,3.611,,,,
1319,EST,Estonia,2008,1340067.0,OECD,,,,2.5,,,19.1,2.402,2.793,0.698,14.0,2.5,5.5,34.0,0.28,22.05,12.39,,23.8,99.3,95.0,,5.5,4.1,48.9,26.2,,99.562,103.618,,35.747,,,,76.9,,79.622,20.792,,99.751,99.437,95.371,92.66,100.0,100.0,1.878,11.836,,,,0.873,70.075,11.341,70.58,,,1.223,1.25,6.409,2.691,62.632,46.257,31.9,,,0.0,,98.814,50.0,,,,,0.814,13.339,,,97.666,,1.5,2.62,1.949,94.726,92.708,0.986,,6.42,27.079,,,,,,272.822,9.832,0.1,,,
1342,SWZ,Eswatini,2008,1049948.0,Sub-Saharan Africa,,,,10.9,,,13.4,2.165,0.995,0.79,474.0,22.3,101.9,1390.0,16.94,47.84,28.95,,93.7,,88.0,,,,,,,,,,,,,,71.8,,80.132,13.846,,60.237,54.503,,,42.628,35.3,1.733,,,27.679,,0.705,,,6.85,,,0.05,,,,,,,,,,,87.601,,,,,,,0.974,,,,,,,,29.981,,0.813,,20.67,,,,,,,,11.072,,,,
1365,ETH,Ethiopia,2008,82916236.0,Sub-Saharan Africa,,,,33.5,,,2.9,2.169,1.446,0.731,681.0,40.2,91.6,296.0,0.45,21.18,23.38,,87.0,,54.0,,,,,,6.296,76.724,29.413,,,,,,39.9,,83.488,21.928,,30.895,5.331,,,31.604,1.6,1.519,93.823,,2.406,,0.029,,,0.45,,,0.007,,,,,,,,,,,84.927,,,,,,,0.077,,,,,,,,18.103,16.174,0.849,,,,,,,,,,5.922,,10.143,,
1388,FJI,Fiji,2008,845356.0,Oceania,,,,3.9,,,25.4,2.257,2.266,1.17,42.0,10.3,23.8,16.0,0.07,41.03,12.54,,27.4,98.8,95.0,,,,,,,99.32,92.733,,,,,,60.9,,50.708,,,94.289,86.822,,,86.16,30.1,0.944,,,4.162,,0.382,,,13.0,,,0.161,,,,,,40.4,,,,,97.126,,,,,,,1.04,,,16.548,,16.67,,10.257,11.178,0.128,0.72,,2.01,,,,,,,,6.465,,,,
1411,FIN,Finland,2008,5319452.0,OECD,,,7.9,2.5,,,19.3,2.53,3.542,0.589,4.0,1.8,3.3,7.2,1.0,12.19,6.75,,8.6,99.8,97.0,,7.7,3.35,27.0,20.4,99.662,98.142,,,38.289,,,,86.0,,87.152,41.5,21.234,100.0,99.448,96.997,82.045,100.0,100.0,0.759,25.718,,,,1.414,71.05,9.861,83.67,9.018,,2.589,3.537,15.875,47.568,45.235,,27.8,0.93,12.9,0.0,,100.0,58.0,,,,,0.948,11.019,,,58.593,,2.16,,0.161,68.61,75.458,0.991,,2.5,16.232,,,,,,66.36,12.407,0.44,,,
1434,FRA,France,2008,62209207.0,OECD,,,,2.5,,,18.6,2.46,7.253,0.401,9.0,2.4,4.4,11.0,1.0,12.01,7.09,,7.5,98.0,89.0,,7.0,6.4,13.4,,99.641,99.496,99.468,,40.825,,,,90.4,,82.247,18.198,,99.961,98.657,97.406,79.001,100.0,100.0,0.68,7.028,,,,2.439,65.3,14.031,70.68,18.39,,1.456,2.061,8.392,46.388,,28.955,33.0,,,0.0,,100.0,56.0,,,,,0.977,6.237,,,69.879,,28.831,31.51,17.878,62.143,57.437,0.882,,1.64,25.594,,,,,,100.069,13.104,0.39,,,
1457,GAB,Gabon,2008,1518538.0,Sub-Saharan Africa,,,,16.8,,,12.1,2.216,1.611,1.016,332.0,24.5,66.7,567.0,1.87,27.52,24.23,,,,67.0,,,,,,,,,,,,,,38.5,,67.531,16.667,,82.669,41.926,,,82.031,77.7,3.015,82.838,,19.094,,0.266,,,7.5,,,0.068,0.511,,,,,,,,,,92.509,,,,,,,2.741,,,62.266,,22.61,47.385,0.897,59.881,93.608,0.954,,,,,,,,,,4.89,,,,
1480,GMB,"Gambia, The",2008,1689288.0,Sub-Saharan Africa,,,,15.8,,,7.3,2.248,0.977,0.84,675.0,34.7,80.3,183.0,1.41,22.64,26.58,,,,92.0,,,,,,,66.644,49.468,,,,,,30.6,,71.423,9.434,,76.738,46.114,,,41.125,3.1,1.603,,,9.3,,0.068,,,6.88,,,0.065,0.013,,,,,,,,,,84.447,,,,,,,0.217,,,40.261,,,3.448,0.065,41.706,99.018,0.98,,,,,,,,,,2.89,,,,
1503,GEO,Georgia,2008,4142648.0,E. Europe & C. Asia,,,,3.6,,,17.1,2.32,2.09,0.966,39.0,12.0,17.2,140.0,0.11,27.98,21.58,,43.8,99.6,92.0,,4.2,,,,,98.598,97.423,,,,,,42.9,,72.698,6.0,,94.853,88.12,,,100.0,60.3,0.62,33.541,,17.87,,0.369,,,10.01,,,0.156,,,,,,38.5,,,,,91.796,72.0,,,,,,1.282,,,35.637,,,7.309,7.754,34.393,22.461,0.889,,6.35,14.181,,,,,,,4.454,,26.107,,
