,id,Country,Year,Population,indexreg,sdg1_wpc,sdg1_320pov,sdg1_oecdpov,sdg2_undernsh,sdg2_stuntihme,sdg2_wasteihme,sdg2_obesity,sdg2_trophic,sdg2_crlyld,sdg2_snmi,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg3_region,sdg3_incomeg,sdg3_smoke,sdg4_earlyedu,sdg4_primary,sdg4_second,sdg4_literacy,sdg4_tertiary,sdg4_pisa,sdg4_socioec,sdg4_science,sdg5_fplmodel,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg6_water,sdg6_sanita,sdg6_safewat,sdg6_safesan,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_ren,sdg8_accounts,sdg8_unemp,sdg8_rights,sdg8_impacc,sdg8_empop,sdg8_yneet,sdg9_intuse,sdg9_mobuse,sdg9_lpi,sdg9_articles,sdg9_rdex,sdg9_rdres,sdg9_patents,sdg9_netacc,sdg9_womensci,sdg10_gini,sdg10_palma,sdg10_elder,sdg11_slums,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg11_rentover,sdg12_nprod,sdg12_nimport,sdg12_explastic,sdg12_mswrecycl,sdg13_co2gcp,sdg13_co2import,sdg13_ecr,sdg14_cpma,sdg14_cleanwat,sdg14_fishstocks,sdg14_trawl,sdg14_discard,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg16_homicides,sdg16_detain,sdg16_safe,sdg16_prs,sdg16_cpi,sdg16_rsf,sdg16_justice,sdg16_prison,sdg17_govex,sdg17_oda,sdg17_govrev,sdg17_sprofits,sdg17_statperf
2676,MUS,Mauritius,2008,1239262.0,Sub-Saharan Africa,,,,5.0,,,8.6,2.367,6.2,1.117,53.0,9.7,14.9,11.0,1.12,25.85,15.33,,34.5,99.5,98.0,,,,,,88.795,99.604,83.902,,,,,,50.1,,55.086,17.143,,99.638,93.391,,,98.979,100.0,1.546,20.624,,7.17,,3.507,,,21.81,8.457,,0.082,,,,,,,,,,,99.853,,,,,,,3.039,,,11.059,,42.17,6.921,1.088,9.021,,0.476,,,29.616,,,,,,,4.471,,20.288,,
2699,MEX,Mexico,2008,110815272.0,OECD,,,,4.5,,,24.8,2.323,3.452,0.793,49.0,9.2,20.6,21.0,0.14,16.4,15.4,,75.2,,96.0,,6.8,4.43,,10.8,99.652,99.932,82.371,98.382,16.384,,,,79.0,,52.877,23.2,22.222,94.908,83.658,40.967,29.97,98.914,85.5,2.088,8.733,,,,0.22,60.666,23.434,21.71,0.04,,0.124,0.444,1.072,0.154,69.106,34.125,49.9,,,,,94.478,64.0,,,,,0.896,4.449,,,52.743,,22.951,8.636,14.559,31.327,44.866,0.705,,12.64,40.061,,,,,,198.307,7.437,,20.646,,
2722,FSM,"Micronesia, Fed. Sts.",2008,103549.0,Oceania,,,,,,,40.1,,1.366,1.109,118.0,18.2,34.2,198.0,,44.4,1.93,,,90.0,85.0,,,,,,,,,,,,,,,,,0.0,,86.912,58.534,,,60.702,11.2,,,,,,,,,14.49,,,0.097,,,,,,,,,,,,,,,,,,1.062,,,1.601,,7.84,,2.59,0.024,,0.698,,,,,,,,,,9.653,,12.986,,
2745,_MENA,Middle East and North Africa,2008,,,,,,8.658,,,23.626,2.192,3.481,0.798,63.14799881,15.91,27.996,35.781,0.131,23.024,22.777,,33.452,,89.83999634,,,,,,,,71.04,,,,,,61.692,,26.206,6.843,,90.393,85.69,,,94.741,94.999,2.231,3.192,,9.558,,0.476,,,17.985,,,0.127,,,,,,,,,,,92.964,,,,,,,5.567,,,39.661,,21.606,23.657,7.353,29.288,30.109,0.906,,1.91,,,,,,,,6.33,,,,
2768,MDA,Moldova,2008,4112886.0,E. Europe & C. Asia,,,,,,,16.3,2.33,3.222,0.594,29.0,12.8,17.8,125.0,0.42,29.23,16.29,,26.0,99.5,90.0,,5.5,,,,,,,,,,,,59.5,,87.769,21.782,,85.851,75.456,,,100.0,88.4,0.775,3.326,,3.98,,0.014,,,23.39,0.851,,0.074,0.535,,,,,34.7,,,,,86.009,54.0,,,,,,1.262,,,,,,,,0.0,0.0,0.943,,5.74,8.492,,,,,,,13.516,,34.361,,
2791,MCO,Monaco,2008,34860.0,E. Europe & C. Asia,,,,,,,,,,,,2.2,4.2,0.76,,,,,,,94.0,,,,,,,,,,,,,,,,,25.0,,100.0,100.0,,,100.0,100.0,,,,,,2.446,,,67.25,,,2.467,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,0.756,,0.0,58.824,,,,,,,2.794,,,,
2814,MNG,Mongolia,2008,2631899.0,East & South Asia,,,,22.3,,,15.5,2.457,1.383,0.98,80.0,13.6,31.2,428.0,0.02,40.82,19.61,,20.0,99.4,96.0,,4.5,,,,95.415,99.739,91.083,,,,,,68.8,,85.773,4.167,,73.495,53.776,,,79.187,30.7,3.069,5.062,,5.56,,0.307,,,9.8,,,0.081,0.337,,,,,,,,,,42.547,31.0,,,,,,4.566,,,,,,,,37.73,33.645,0.96,,8.06,23.118,,,,,,,7.908,,30.816,,
2837,MNE,Montenegro,2008,621312.0,E. Europe & C. Asia,,,,2.5,,,20.0,2.361,3.24,0.976,8.0,5.4,8.1,24.0,0.03,24.29,18.51,,20.2,99.9,89.0,,,,,,100.0,96.079,,,,,,,37.5,,75.593,11.111,,95.675,91.716,,,100.0,63.8,0.965,23.488,,17.15,,0.896,,,32.9,,,0.208,,,,,,,,,,,98.215,49.0,,,,,,4.193,,,0.0,,,34.605,6.293,17.656,49.223,0.834,,3.86,46.711,,,,,,,,,,,
2860,MAR,Morocco,2008,31536807.0,MENA,,,,5.6,,,20.9,2.16,1.003,0.839,106.0,21.7,35.0,98.0,0.05,24.81,23.72,,32.0,,96.0,,,,,,61.817,90.891,54.099,77.863,,,,,72.7,,34.998,10.462,,73.812,76.027,,,83.763,95.5,2.353,10.917,,9.57,,0.095,,,33.1,0.85,,0.058,,,,,,,,,,,94.177,,,,,,,1.629,,,40.707,,8.924,59.551,8.599,36.987,54.058,0.894,,1.35,48.926,,,,,,,7.471,,30.92,,
2883,MOZ,Mozambique,2008,22276596.0,Sub-Saharan Africa,,,,28.6,,,5.2,2.06,0.534,0.914,471.0,35.3,112.9,351.0,7.01,30.7,31.4,,,55.3,75.0,,4.7,,,,,87.68,17.627,,,,,,40.9,,102.294,34.8,,35.4,19.039,,,13.571,2.8,0.126,93.046,,3.129,,0.029,,,1.56,,,0.006,0.14,,,,,45.6,,,,,63.529,59.0,,,,,,0.098,,,57.552,,30.01,,15.903,33.71,37.833,0.83,,4.47,66.833,,,,,,,5.112,,,,
2906,MMR,Myanmar,2008,49929642.0,East & South Asia,,,,18.4,,,3.6,2.326,3.768,0.59,289.0,30.5,98.4,530.0,1.0,29.58,19.22,,,,82.0,,,,,,6.067,89.838,,,,,,,,,66.521,,,60.46,67.842,,,50.661,7.4,1.481,71.257,,0.709,,0.0,,,0.22,0.0,,0.002,,,,,,,,,,,41.075,,,,,,,0.195,,,9.29,,12.77,47.506,3.026,20.294,26.877,0.831,,1.58,,,,,,,,1.373,,,,
2929,NAM,Namibia,2008,2043382.0,Sub-Saharan Africa,,,,27.6,,,13.0,2.251,0.496,1.075,284.0,20.2,55.1,1060.0,6.23,26.55,21.26,,,,73.0,,,,,,,91.394,60.414,,,,,,78.0,,82.234,26.923,,79.704,31.383,,,42.682,39.6,2.027,26.205,,22.186,,0.616,,,5.329,,,0.046,,,,,,,,,,,97.889,,,,,,,1.632,,,32.791,,62.3,38.025,4.492,54.097,76.64,0.97,,17.32,,,,,,,,10.535,,32.867,,
2952,NRU,Nauru,2008,9880.0,Oceania,,,,,,,58.2,,,0.985,,24.6,38.3,58.0,,,,,,,99.0,,,,,,,,,,,,,,,,,0.0,,98.042,65.636,,,99.173,100.0,2.316,,,,,,,,,,,0.202,,,,,,,,,,,52.82,,,,,,,4.45,,,0.0,,14.24,,,0.0,,0.81,,,,,,,,,,16.848,,,,
2975,NPL,Nepal,2008,26666581.0,East & South Asia,,,,13.0,,,2.6,2.122,2.356,0.707,342.0,28.7,50.8,329.0,0.1,19.43,15.86,,87.0,,79.0,,4.4,,,,,,60.562,,,,,,59.7,,90.733,33.165,,84.331,35.903,,,57.325,18.2,1.163,,,1.33,,0.073,,,1.73,,,0.02,0.054,,,,,,,,,,59.341,72.0,,,,,,0.126,,,,,,,,47.237,31.64,0.834,,3.35,,,,,,,,4.515,,12.3,,
2998,NLD,Netherlands,2008,16568105.0,OECD,,,,2.5,,,16.8,2.471,8.332,0.759,8.0,3.0,4.7,6.7,0.06,12.98,4.67,,5.2,,96.0,,7.6,1.2,20.2,23.3,,99.787,,,39.766,,,,88.5,,80.48,41.333,,100.0,97.85,99.984,97.459,100.0,100.0,1.738,3.707,,,,2.611,74.925,5.114,87.42,,,2.341,1.623,5.69,68.109,25.19,,29.3,,,0.0,,100.0,58.0,,,,,0.841,10.554,,,89.98,,54.62,22.697,17.899,70.179,81.504,0.956,,0.91,39.22,,,,,,88.182,11.207,0.8,,,
3021,NZL,New Zealand,2008,4278156.0,OECD,,,,2.5,,,26.1,2.343,7.38,0.607,10.0,3.0,6.3,7.8,0.04,12.33,9.16,,33.1,96.7,86.0,,7.4,,,,,,,,,,,,86.9,,82.543,33.607,8.054,100.0,100.0,86.245,78.833,100.0,100.0,0.794,32.607,,,,1.258,74.55,12.103,72.03,,,2.233,,,17.033,,,,,,0.0,,100.0,44.0,,,,,,8.815,,,46.24,,52.589,37.864,11.918,45.105,21.869,0.678,,1.19,20.072,,,,,,182.135,12.594,0.3,,,
3044,NIC,Nicaragua,2008,5667436.0,LAC,,,,21.2,,,19.4,2.289,1.811,0.97,116.0,13.8,26.1,52.0,0.12,16.14,14.35,,,,97.0,,5.1,,,,84.635,98.125,59.91,,,,,,85.0,,50.457,18.478,,80.939,64.967,,,77.074,42.7,1.288,54.415,,6.2,,0.109,,,5.3,0.117,,0.015,,,,,,,,,,,92.774,63.0,,,,,,0.77,,,49.947,,23.01,,13.377,68.126,73.669,0.837,,12.99,20.844,,,,,,,5.613,,14.257,,
3067,NER,Niger,2008,15250913.0,Sub-Saharan Africa,,,,,,,3.7,2.214,0.497,0.932,709.0,32.9,139.3,123.0,0.15,21.29,27.19,,,,66.0,,4.2,,,,13.942,47.233,8.78,,,,,,37.3,,76.156,12.389,,42.364,9.377,,,11.853,1.1,3.75,82.488,,1.71,,0.018,,,0.7,,,0.006,,,,,,,,,,,85.713,20.0,,,,,,0.053,,,,,,,,23.445,24.88,0.945,,,,,,,,,,4.274,,,,
3090,NGA,Nigeria,2008,150269622.0,Sub-Saharan Africa,,,,6.8,,,6.0,2.08,1.598,0.808,996.0,39.0,141.7,219.0,0.78,19.64,25.13,,,34.4,53.0,,4.9,,,,,64.895,,66.384,,,,,33.7,,88.976,6.983,,56.527,33.059,,,50.3,1.4,4.19,81.536,,3.819,,0.045,,,8.0,,,0.026,,,,,,,,,,,26.313,55.0,,,,,,0.631,,,0.0,,12.98,7.518,0.594,80.414,73.746,0.853,,,70.729,,,,,,,,,,,
3113,MKD,North Macedonia,2008,2067309.0,E. Europe & C. Asia,,,,2.9,,,19.4,2.292,3.537,0.75,8.0,7.8,11.7,27.0,1.0,27.4,8.08,,19.2,99.7,95.0,,,,,,33.717,91.451,87.364,,,,,,,,63.186,31.667,,97.102,90.885,,,99.2,64.5,1.496,9.025,,33.76,,0.244,,,46.04,,,0.251,0.224,,,,,,,,,,98.235,51.0,,,,,,4.496,,,,,,,,24.398,93.639,0.969,,1.69,30.112,,,,,,,7.533,,32.178,,
3136,NOR,Norway,2008,4771014.0,OECD,,,7.8,2.5,,,19.5,2.486,4.487,0.83,4.0,2.0,3.6,7.2,0.05,11.69,5.51,,9.3,99.2,93.0,,7.6,3.0,15.8,21.0,93.39,99.393,100.197,,45.579,,,,87.3,,88.225,36.095,8.758,100.0,98.064,99.546,61.253,100.0,100.0,0.388,41.583,,,,2.688,77.95,6.674,90.57,57.891,,2.505,1.554,9.975,18.488,28.237,30.122,27.0,0.85,8.0,0.0,,100.0,45.0,,,,,0.761,9.398,,,52.018,,20.309,11.753,1.94,51.262,53.199,0.954,,0.71,17.199,,,,,,72.878,12.983,0.89,,,
3159,_OECD,OECD members,2008,,,,,,3.007,,,21.198,2.391,5.515,0.56,16.50200081,4.236,8.189,16.646,0.58,13.858,10.376,,28.148,98.198,93.2539978,,6.663,,,,91.712,98.916,,,,,,,76.491,,71.795,19.546,,98.451,96.871,,,99.771,97.843,1.346,8.259,,,,1.508,,,62.581,23.389,,1.248,1.965,,,,,37.673,,,3.355,,98.309,55.952,,,,,,10.84,,,50.201,,39.751,23.793,11.653,48.345,49.885,0.856,,4.675,26.736,,,,,,,9.975,0.272,,,
3182,_Oceania,Oceania,2008,,,,,,22.733,,,19.466,,,0.984,153.2810059,23.398,52.896,347.865,,36.511,16.449,,,,61.5530014,,,,,,,,,,,,,,,,90.853,1.842,,48.201,29.814,,,35.072,10.902,1.775,,,2.507,,,,,2.958,,,0.037,,,,,,,,,,,73.177,,,,,,,0.748,,,5.068,,6.957,,3.351,8.651,,0.844,,7.402,,,,,,,,4.947,,,,
3205,OMN,Oman,2008,2750956.0,MENA,,,,9.7,,,21.8,2.342,4.775,0.94,18.0,5.3,12.0,15.0,1.0,33.96,35.62,,8.1,98.6,98.0,,,,,,,,,97.63,,,,,29.6,,32.425,0.0,,87.139,94.685,,,100.0,100.0,2.809,0.0,,4.14,,1.359,,,20.0,0.942,,0.248,,,,,,,,,,,85.97,,,,,,,15.307,,,7.075,,0.23,9.986,1.359,8.5,,0.914,,1.71,,,,,,,,5.446,,,,
3228,PAK,Pakistan,2008,171648984.0,East & South Asia,,,,15.8,,,5.9,2.394,2.654,0.903,205.0,50.9,90.9,276.0,0.08,32.36,14.23,,,38.0,53.0,,4.4,,,,,,38.028,71.113,,,,,41.8,,25.169,22.485,,88.419,45.759,,,70.716,33.0,1.641,37.945,,0.42,,0.028,,,7.0,0.0,,0.03,,,,,,,,,,,59.459,59.0,,,,,,0.905,,,14.583,,36.8,,0.537,34.788,35.901,0.904,,7.03,,,,,,,,3.308,,,,
3251,PLW,Palau,2008,18708.0,Oceania,,,,,,,50.4,,,,,13.0,24.4,93.0,,,,,,100.0,92.0,,,,,,,,,,,,,,,,,0.0,,99.497,95.524,,,98.511,100.0,,,,,,,,,,,,0.481,,,,,,,,,,,64.624,,,,,,,10.968,,,56.372,,4.63,,,44.874,,0.809,,,,,,,,,,10.578,,,,
3274,PAN,Panama,2008,3516204.0,LAC,,,,14.1,,,18.6,2.32,2.694,1.006,84.0,11.9,21.1,58.0,0.44,11.54,15.39,,83.2,91.8,86.0,,6.9,,,,80.235,98.364,65.922,,,,,,72.3,,58.391,16.667,,91.542,70.733,,,86.671,100.0,1.056,22.987,,3.743,,0.471,,,33.82,,,0.086,0.191,,,,,52.7,,,,,97.126,54.0,,,,,,2.086,,,23.459,,73.37,0.696,10.829,33.199,55.25,0.742,,14.02,,,,,,,,8.153,,,,
3297,PNG,Papua New Guinea,2008,6976200.0,Oceania,,,,27.0,,,16.9,,3.968,0.938,173.0,27.0,60.8,432.0,0.37,35.45,17.44,,,,56.0,,,,,,,,,,,,,,42.8,,97.086,0.917,,36.191,18.537,,,25.257,7.1,1.708,,,2.311,,0.06,,,1.15,,,0.019,,,,,,,,,,,69.964,,,,,,,0.687,,,1.892,,6.32,,2.564,7.168,,0.873,,8.64,,,,,,,,,,,,
3320,PRY,Paraguay,2008,6081296.0,LAC,,,,9.6,,,16.2,2.246,2.681,0.296,158.0,14.8,27.7,42.0,0.19,16.86,22.63,,61.8,87.2,89.0,,5.6,,,,81.324,91.473,79.338,97.964,,,,,77.9,,63.392,12.5,,87.536,79.942,,,96.678,53.8,0.074,158.674,,4.42,,0.429,,,14.27,,,0.012,0.041,,,,,50.7,,,,,85.874,48.0,,,,,,0.703,,,,,,,,32.32,38.681,0.955,,13.7,67.771,,,,,,,4.363,,13.848,,
3343,PER,Peru,2008,28562321.0,LAC,,,,11.6,,,16.5,2.208,3.833,0.837,108.0,10.6,22.0,141.0,0.16,10.28,16.37,,67.4,79.4,92.0,,5.1,,,,90.091,99.433,83.961,,,,,,59.5,,81.27,29.167,,86.099,70.01,,,84.678,62.1,1.015,31.07,,4.04,,0.146,,,30.57,,,0.028,,,,,,47.5,,,,,88.152,54.0,,,,,,1.429,,,21.024,,6.07,0.455,5.534,22.693,40.601,0.733,,,65.656,,,,,,,5.039,,21.151,,
3366,PHL,Philippines,2008,90901967.0,East & South Asia,,,,12.6,,,4.6,2.229,3.334,0.795,148.0,15.2,32.5,524.0,0.02,24.64,10.04,,,62.2,91.0,,4.6,,,,37.287,89.943,80.606,97.751,,,,,47.2,,62.326,20.502,,89.104,65.981,,,83.3,40.6,1.24,44.334,,3.72,,0.143,,,6.22,,,0.011,,,,,,,,,,,68.21,67.0,,,,,,0.85,,,37.381,,9.05,10.324,1.141,40.669,49.531,0.72,,6.4,60.428,,,,,,,3.747,,14.567,,
3389,POL,Poland,2008,38356786.0,OECD,,,10.7,2.5,,,20.1,2.334,3.217,0.63,4.0,4.0,6.7,22.0,1.0,21.63,16.56,,16.2,99.4,98.0,,5.8,5.5,14.6,,94.162,94.145,,99.797,32.133,,,,61.8,,74.373,20.217,12.994,98.092,93.92,92.156,84.378,100.0,100.0,2.131,5.688,,,,0.57,59.225,13.662,53.13,,,0.742,0.599,3.929,0.981,63.231,,33.5,1.14,10.1,0.0,,95.962,53.0,,,,,0.76,8.615,,,87.308,,66.81,37.543,2.552,83.804,90.859,0.959,,0.85,11.056,,,,,,221.546,9.582,0.08,,,
3412,PRT,Portugal,2008,10595312.0,OECD,,,11.3,2.5,,,17.2,2.45,3.59,1.072,9.0,2.1,4.0,31.0,0.17,12.85,12.09,,15.9,,97.0,,5.7,11.08,28.3,,96.62,98.932,,,23.174,,,,74.7,,80.995,28.261,,99.369,98.511,94.382,62.172,100.0,100.0,1.209,17.542,,,,1.259,68.025,12.223,44.13,,,1.145,1.443,7.954,2.861,77.507,36.343,36.6,1.46,11.5,0.0,,99.464,64.0,,,,,1.17,5.674,,,58.568,,74.741,24.922,23.748,71.763,68.025,0.869,,,19.506,,,,,,101.998,10.686,0.27,,,
3435,QAT,Qatar,2008,1436670.0,MENA,,,,,,,30.0,,4.922,0.93,11.0,4.9,9.6,45.0,0.03,20.03,22.76,,13.8,100.0,96.0,,6.4,,,,,,106.162,93.53,,,,,59.7,,51.673,0.0,,100.0,100.0,,,100.0,100.0,2.987,0.028,,0.31,,2.435,,,44.3,1.66,,0.367,,,,,,,,,,,,57.0,,,,,,44.726,,,59.987,,,,4.121,59.987,,0.871,,0.84,5.263,,,,,,,5.451,,,,
3458,ROU,Romania,2008,20829521.0,E. Europe & C. Asia,,,,2.5,,,19.0,2.363,3.247,0.551,28.0,6.3,14.0,120.0,0.04,23.73,15.52,,45.0,99.4,96.0,,,,,,99.697,97.64,91.63,,,,,,62.6,,74.574,11.377,,100.0,77.345,,,100.0,100.0,1.493,13.515,,5.79,,0.326,,,32.42,4.993,,0.428,0.552,,,,,36.4,,,,,90.188,,,,,,,4.733,,,88.6,,,,16.426,61.538,53.363,0.864,,1.45,11.872,,,,,,,8.17,,30.687,,
3481,RUS,Russian Federation,2008,143248764.0,E. Europe & C. Asia,,,,2.5,,,20.9,2.346,2.387,0.635,30.0,4.9,11.2,90.0,1.0,32.78,25.49,,29.3,99.6,98.0,,5.6,,,,87.747,97.757,71.618,,,,,,69.0,,80.029,14.0,,95.9,86.33,,,100.0,98.0,1.791,2.575,,6.21,,0.427,,,32.0,,,0.258,1.044,,,,,41.6,,,,,93.93,59.0,,,,,,11.427,,,22.865,,43.17,3.785,18.67,24.957,26.167,0.954,,12.7,8.054,,,,,,,7.173,,33.681,,
3504,RWA,Rwanda,2008,9524532.0,Sub-Saharan Africa,,,,29.5,,,3.8,2.039,1.267,0.808,427.0,25.1,76.3,101.0,1.27,23.44,33.65,,41.0,52.1,92.0,,4.4,,,,,,,,,,,,40.7,,99.339,56.25,,51.694,55.822,,,6.0,0.2,2.671,,,1.024,,0.089,,,4.5,,,0.007,,,,,,,,,,,71.189,45.0,,,,,,0.055,,,,,,,,51.685,29.184,0.883,,1.51,,,,,,,,5.312,,,,
3527,WSM,Samoa,2008,183270.0,Oceania,,,,4.0,,,42.2,2.244,,1.022,60.0,7.8,19.3,7.5,,32.59,13.1,,,,39.0,,,,,,,,,,,,,,,,57.234,8.163,,89.73,95.129,,,98.1,25.1,1.563,,,5.581,,0.335,,,5.032,,,0.065,,,,,,42.0,,,,,90.951,,,,,,,0.88,,,54.155,,11.33,,6.725,47.005,,0.778,,,,,,,,,,8.702,,,,
3550,SMR,San Marino,2008,30434.0,E. Europe & C. Asia,,,,,,,,,,,,1.5,3.2,0.0,,,,,,,86.0,,,,,,,,,,,,,,,,,15.0,,100.0,100.0,,,100.0,100.0,,,,,,5.585,,,54.52,,,0.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.984,,0.0,,,,,,,,,,,,
3573,STP,Sao Tome and Principe,2008,171122.0,Sub-Saharan Africa,,,,11.1,,,9.2,2.135,2.154,0.998,150.0,17.4,42.9,70.0,1.0,22.14,26.3,,,,93.0,,,,,,44.905,90.73,30.471,80.203,,,,,47.9,,52.422,7.273,,73.275,30.738,,,59.174,0.9,1.873,,,15.631,,0.35,,,15.48,,,,,,,,,,,,,,90.346,,,,,,,0.492,,,82.488,,21.91,2.337,0.012,79.547,72.881,0.787,,8.18,,,,,,,,6.777,,,,
3596,SAU,Saudi Arabia,2008,25888535.0,MENA,,,,5.5,,,30.2,2.281,5.221,1.047,20.0,7.1,13.8,18.0,0.02,26.22,25.72,,,97.0,97.0,,6.8,,,,,,83.838,,,,,,39.9,,23.924,0.0,,98.428,99.045,,,100.0,100.0,2.204,0.004,,5.08,,1.482,,,36.0,,,0.124,0.049,,,,,,,,,,,72.0,,,,,,16.7,,,25.31,,14.524,15.56,6.228,21.98,17.676,0.932,,,,,,,,,,7.027,,,,
3619,SEN,Senegal,2008,12004700.0,Sub-Saharan Africa,,,,10.9,,,6.5,2.227,1.174,0.872,492.0,28.6,74.3,136.0,0.25,21.06,25.4,,96.0,,77.0,,4.7,,,,12.127,71.156,26.264,,,,,,27.3,,51.259,22.0,,69.664,45.27,,,50.0,36.5,1.376,45.645,,10.133,,0.085,,,7.12,,,0.031,0.291,,,,,,,,,,85.287,33.0,,,,,,0.395,,,22.11,,49.26,19.171,7.189,35.073,22.944,0.946,,,8.325,,,,,,,5.413,,,,
3642,SRB,Serbia,2008,9060105.0,E. Europe & C. Asia,,,,2.5,,,18.4,2.31,4.571,0.575,12.0,5.0,8.0,35.0,0.02,25.07,11.75,,22.0,99.7,92.0,,,,,,92.15,98.553,95.191,,,,,,48.0,,71.873,21.6,,90.756,96.159,,,100.0,65.9,1.668,9.694,,13.7,,0.1,,,35.6,,,0.436,0.67,,,,,,,,,,97.487,65.0,,,,,,5.715,,,,,,,,20.709,16.222,0.951,,1.55,25.111,,,,,,,10.305,,36.061,,
3665,SYC,Seychelles,2008,90450.0,Sub-Saharan Africa,,,,,,,11.0,,,1.256,55.0,8.6,13.9,7.6,,22.97,6.63,,59.3,100.0,99.0,,,,,,97.245,,109.109,,,,,,,,,23.529,,95.178,97.537,,,96.609,100.0,2.739,,,,,2.009,,,40.44,0.239,,0.376,,,,,,,,,,,,,,,,,,4.577,,,25.059,,22.52,,4.862,23.651,98.91,0.708,,6.63,40.741,,,,,,,7.173,,,,
3688,SLE,Sierra Leone,2008,6133599.0,Sub-Saharan Africa,,,,40.3,,,6.3,2.181,1.351,0.868,1530.0,41.9,174.9,318.0,1.15,25.58,30.46,,,42.4,73.0,,3.0,,,,,,,,,,,,28.4,,98.816,13.223,,49.381,12.668,,,12.1,0.4,3.963,,,3.919,,0.02,,,0.25,,,0.003,,,,,,,,,,,44.779,20.0,,,,,,0.082,,,24.054,,1.34,14.91,4.84,35.247,34.019,0.929,,3.0,40.774,,,,,,,3.046,,,,
3711,SGP,Singapore,2008,4775810.0,East & South Asia,,,,,,,5.2,,,1.13,11.0,1.2,2.8,38.0,0.14,12.46,5.8,,6.1,99.8,95.0,,6.6,,,,,,,,,,,,74.0,,72.887,24.468,,100.0,100.0,,,100.0,100.0,1.431,0.901,,3.96,,9.611,,,69.0,54.502,,2.484,2.597,,,,,,,,,,100.0,91.0,,,,,,12.055,,,3.253,,,,,21.143,,0.892,,0.57,6.712,,,,,,,3.956,,,,
3734,SVK,Slovak Republic,2008,5399362.0,OECD,,,7.2,4.9,,,17.8,2.319,5.175,0.476,6.0,3.4,7.4,12.0,1.0,21.41,14.44,,21.6,99.51,99.0,,,2.4,19.1,,82.321,97.427,82.783,,18.439,,,,71.8,,74.692,19.333,16.445,97.957,98.698,96.646,84.084,100.0,100.0,1.34,5.123,,,,0.836,62.25,16.172,66.05,10.511,,0.86,0.461,5.601,0.831,64.088,37.303,26.0,0.88,9.7,0.0,,97.416,,,,,,0.789,7.663,,,,,,,,74.129,78.217,0.952,,1.59,19.018,,,,,,151.24,8.72,0.1,,,
3757,SVN,Slovenia,2008,2023049.0,OECD,,,7.9,2.5,,,17.5,2.432,5.475,0.759,8.0,2.0,3.6,12.0,0.03,14.21,11.07,,5.1,99.9,96.0,,,2.3,33.6,,91.029,99.33,,,30.041,,,,71.7,,81.578,13.333,,99.5,97.987,87.44,42.531,100.0,100.0,1.057,13.665,,,,1.311,68.575,8.453,58.0,,,2.146,1.627,7.028,8.114,67.548,26.767,23.7,0.77,17.0,0.0,,,,,,,,1.143,9.021,,,53.774,,,,16.477,70.682,83.966,0.93,,0.49,16.995,,,,,,65.149,10.778,0.13,,,
3780,_SIDS,Small Island Developing States,2008,,,17.806,33.94,,20.246,18.913,6.017,17.13,2.234,2.784,1.027,173.1519928,17.515,38.647,133.982,0.541,23.628,16.499,68.832,61.356,76.966,80.34600067,50.54899979,5.15,,,,80.258,92.147,82.801,87.809,,,,,64.818,85.935,71.768,18.263,,80.19,64.654,,,73.087,55.313,2.5,27.148,49.218,6.303,0.614,1.431,,,18.629,4.896,2.296,0.266,0.634,,,,,42.995,,,34.068,20.616,76.285,43.875,,6.84,5.123,2.345,,3.72,1.375,,25.659,54.239,10.733,0.695,2.022,29.407,47.941,0.769,0.392,12.225,51.462,,4.075,39.39699936,36.095,0.541,,8.535,,30.432,,45.723
3803,SLB,Solomon Islands,2008,503366.0,Oceania,,,,13.2,,,17.6,2.123,2.546,1.246,159.0,11.4,27.8,96.0,,40.64,17.5,,,,71.0,,,,,,,,,,,,,,,,95.77,0.0,,75.292,24.942,,,28.149,7.9,3.756,,,1.893,,,,,3.0,,,0.022,,,,,,,,,,,73.294,,,,,,,0.611,,,3.085,,0.81,,,4.484,,0.797,,3.77,,,,,,,,10.799,,,,
3826,SOM,Somalia,2008,11397188.0,Sub-Saharan Africa,,,,58.2,,,5.9,,0.558,1.13,1010.0,45.0,166.5,286.0,0.1,32.28,27.59,,,,31.0,,,,,,,,,,,,,,4.3,,41.884,8.203,,35.98,25.9,,,17.741,0.8,1.997,,,18.917,,0.005,,,1.143,,,0.0,,,,,,,,,,,45.057,,,,,,,0.053,,,0.0,,18.21,,14.31,0.0,0.0,0.933,,,,,,,,,,,,,,
