,Month,Measure,Inflation Index
307,2016-07,All Items,100.25
308,2016-06,Train,99.41
309,2016-06,Transport Services,97.74
310,2016-06,Transport,99.91
311,2016-06,All Items,100.63
312,2016-05,Train,99.7
313,2016-05,Transport Services,96.04
314,2016-05,Transport,98.58
315,2016-05,All Items,100.5
316,2016-04,Train,100.16
317,2016-04,Transport Services,97.2
318,2016-04,Transport,98.01
319,2016-04,All Items,100.09
320,2016-03,Train,100.16
321,2016-03,Transport Services,95.92
322,2016-03,Transport,97.68
323,2016-03,All Items,100.02
324,2016-02,Train,100.16
325,2016-02,Transport Services,96.47
326,2016-02,Transport,97.29
327,2016-02,All Items,99.33
328,2016-01,Train,100.16
329,2016-01,Transport Services,95.91
330,2016-01,Transport,97.5
331,2016-01,All Items,99.08
332,2015-12,Train,100.08
333,2015-12,Transport Services,99.97
334,2015-12,Transport,98.68
335,2015-12,All Items,100.04
336,2015-11,Train,100.08
337,2015-11,Transport Services,95.48
338,2015-11,Transport,98.25
339,2015-11,All Items,99.82
340,2015-10,Train,100.08
341,2015-10,Transport Services,98.77
342,2015-10,Transport,99.07
343,2015-10,All Items,100.01
344,2015-09,Train,100.08
345,2015-09,Transport Services,97.6
346,2015-09,Transport,98.7
347,2015-09,All Items,99.95
348,2015-08,Train,100.08
349,2015-08,Transport Services,107.51
350,2015-08,Transport,101.01
351,2015-08,All Items,100.35
352,2015-07,Train,100.08
353,2015-07,Transport Services,108.12
354,2015-07,Transport,102.48
355,2015-07,All Items,100.03
356,2015-06,Train,99.15
357,2015-06,Transport Services,99.89
358,2015-06,Transport,101.28
359,2015-06,All Items,100.44
360,2015-05,Train,100.08
361,2015-05,Transport Services,99.36
362,2015-05,Transport,101.22
363,2015-05,All Items,100.52
364,2015-04,Train,100.08
365,2015-04,Transport Services,100.47
366,2015-04,Transport,100.88
367,2015-04,All Items,100.28
368,2015-03,Train,100.08
369,2015-03,Transport Services,97.2
370,2015-03,Transport,100.31
371,2015-03,All Items,100.17
372,2015-02,Train,100.02
373,2015-02,Transport Services,98.15
374,2015-02,Transport,99.68
375,2015-02,All Items,99.52
376,2015-01,Train,100.08
