,LOCATION,Year,Rail KM (mil),Bus KM (mil),Rail Infrastructure Investment,Population,Country,Satisfaction
185,DEU,2017,95530.0,79730.0,6901610962.763,82657000.0,Germany,72.0
186,DEU,2018,98170.0,80102.0,7313336480.9265,82905788.0,Germany,70.0
187,DEU,2019,102026.0,78852.0,8091280435.4594,83092958.0,Germany,67.0
188,DEU,2020,58822.0,45731.0,8869844374.1294,83160874.0,Germany,65.0
189,SVN,2000,705.0,3502.0,24113247.656628,1990272.0,Slovenia,
190,SVN,2001,715.0,3393.0,20758649.843647,1992035.0,Slovenia,
191,SVN,2002,749.0,3339.0,26385319.153647,1995718.0,Slovenia,
192,SVN,2003,777.0,3446.0,27028863.52177,1996773.0,Slovenia,
193,SVN,2004,764.0,3218.0,72737773.56919,1997004.0,Slovenia,
194,SVN,2005,777.0,3062.0,50369097.309647,2001114.0,Slovenia,
195,SVN,2006,793.0,3133.0,15225034.06395,2008516.0,Slovenia,57.0
196,SVN,2007,812.0,3235.0,68826256.796373,2019406.0,Slovenia,
197,SVN,2008,834.0,3146.0,100918265.10216,2022629.0,Slovenia,
198,SVN,2009,840.0,3196.0,75992669.49928,2042335.0,Slovenia,57.0
199,SVN,2010,813.0,3183.0,135553372.88779,2049261.0,Slovenia,55.0
200,LVA,2000,715.0,2348.0,50588559.953641,2367549.0,Latvia,
201,LVA,2001,706.0,2305.0,41786843.245257,2337172.0,Latvia,
202,LVA,2002,744.0,2361.0,54707628.471605,2310176.0,Latvia,
203,LVA,2003,762.0,2550.0,74205384.968841,2287955.0,Latvia,
204,LVA,2004,811.0,2655.0,63482649.852491,2263123.0,Latvia,
205,LVA,2005,894.0,2891.0,65660114.618922,2238799.0,Latvia,
206,LVA,2006,992.0,2800.0,44999615.214497,2218351.0,Latvia,71.0
207,LVA,2007,983.0,2644.0,44286132.72816,2200325.0,Latvia,61.0
208,LVA,2008,951.0,2517.0,67729648.742968,2177324.0,Latvia,61.0
209,LVA,2009,756.0,2143.0,76005403.091398,2141668.0,Latvia,66.0
210,LVA,2010,749.0,2311.0,90514569.125852,2097553.0,Latvia,
211,LVA,2011,741.0,2412.0,58606708.443001,2059710.0,Latvia,67.0
212,LVA,2012,725.0,2358.0,103702448.53355,2034324.0,Latvia,67.0
213,LVA,2013,729.0,2325.0,75465534.163824,2012647.0,Latvia,70.0
214,LVA,2014,649.0,2345.0,133159268.97296,1993785.0,Latvia,69.0
215,LVA,2015,591.0,2232.0,209000000.0,1977523.0,Latvia,66.0
216,LVA,2016,584.0,2187.0,25070639.609556,1959535.0,Latvia,65.0
217,LVA,2017,596.0,2146.0,24036822.365358,1942247.0,Latvia,65.0
218,LVA,2018,624.0,2156.0,20722135.014698,1927170.0,Latvia,67.0
219,LVA,2019,643.0,2191.0,25218839.200761,1913826.0,Latvia,64.0
220,LVA,2020,413.0,1381.0,46538246.358097,1900448.0,Latvia,63.0
221,FIN,2000,3405.0,7700.0,358116321.71012,5176203.0,Finland,
222,FIN,2001,3282.0,7700.0,305953115.63748,5188005.0,Finland,
223,FIN,2002,3318.0,7700.0,331193634.14253,5200598.0,Finland,
224,FIN,2003,3338.0,7670.0,396155530.80718,5213010.0,Finland,
225,FIN,2004,3352.0,7605.0,456280106.50126,5228173.0,Finland,
226,FIN,2005,3478.0,7540.0,371927587.20554,5246100.0,Finland,
227,FIN,2006,3540.0,7540.0,292983301.48196,5266266.0,Finland,62.0
228,FIN,2007,3778.0,7540.0,252104129.94914,5288719.0,Finland,
229,FIN,2008,4052.0,7540.0,362095003.8251,5313398.0,Finland,58.0
230,FIN,2009,3876.0,7540.0,407989012.45853,5338867.0,Finland,
231,FIN,2010,3959.0,7540.0,427149200.00258,5363341.0,Finland,58.0
232,FIN,2011,3882.0,7540.0,368767220.22744,5388272.0,Finland,59.0
233,FIN,2012,4035.0,7540.0,445307865.38881,5413967.0,Finland,57.0
