,Date,Region,level_2,Value
187,2014-10-01,2.0,Services Inflation,1.058351
188,2014-11-01,2.0,Overall Inflation,0.7004023
189,2014-11-01,2.0,Services Inflation,1.046878
190,2014-12-01,2.0,Overall Inflation,0.7310026
191,2014-12-01,2.0,Services Inflation,1.052929
192,2015-01-01,2.0,Overall Inflation,0.6414706
193,2015-01-01,2.0,Services Inflation,1.042811
194,2015-02-01,2.0,Overall Inflation,0.637681
195,2015-02-01,2.0,Services Inflation,1.008001
196,2015-03-01,2.0,Overall Inflation,0.6982693
197,2015-03-01,2.0,Services Inflation,1.031003
198,2015-04-01,2.0,Overall Inflation,0.6956274
199,2015-04-01,2.0,Services Inflation,1.039647
200,2015-05-01,2.0,Overall Inflation,0.6897181
201,2015-05-01,2.0,Services Inflation,1.073641
202,2015-06-01,2.0,Overall Inflation,0.6959851
203,2015-06-01,2.0,Services Inflation,1.088708
204,2015-07-01,2.0,Overall Inflation,0.6409211
205,2015-07-01,2.0,Services Inflation,1.096268
206,2015-08-01,2.0,Overall Inflation,0.6675905
207,2015-08-01,2.0,Services Inflation,1.022193
208,2015-09-01,2.0,Overall Inflation,0.6723074
209,2015-09-01,2.0,Services Inflation,1.038969
210,2015-10-01,2.0,Overall Inflation,0.7106639
211,2015-10-01,2.0,Services Inflation,1.091287
212,2015-11-01,2.0,Overall Inflation,0.7457232
213,2015-11-01,2.0,Services Inflation,1.14713
214,2015-12-01,2.0,Overall Inflation,0.6749057
215,2015-12-01,2.0,Services Inflation,1.129241
216,2016-01-01,2.0,Overall Inflation,0.655031
217,2016-01-01,2.0,Services Inflation,1.097068
218,2016-02-01,2.0,Overall Inflation,0.7743753
219,2016-02-01,2.0,Services Inflation,1.156109
220,2016-03-01,2.0,Overall Inflation,0.8027014
221,2016-03-01,2.0,Services Inflation,1.179197
222,2016-04-01,2.0,Overall Inflation,0.778674
223,2016-04-01,2.0,Services Inflation,1.194409
224,2016-05-01,2.0,Overall Inflation,0.7916257
225,2016-05-01,2.0,Services Inflation,1.211858
226,2016-06-01,2.0,Overall Inflation,0.7636325
227,2016-06-01,2.0,Services Inflation,1.230281
228,2016-07-01,2.0,Overall Inflation,0.7251647
229,2016-07-01,2.0,Services Inflation,1.212452
230,2016-08-01,2.0,Overall Inflation,0.813998
231,2016-08-01,2.0,Services Inflation,1.236551
232,2016-09-01,2.0,Overall Inflation,0.8369165
233,2016-09-01,2.0,Services Inflation,1.204446
234,2016-10-01,2.0,Overall Inflation,0.8506756
235,2016-10-01,2.0,Services Inflation,1.290932
236,2016-11-01,2.0,Overall Inflation,0.8768945
237,2016-11-01,2.0,Services Inflation,1.292274
238,2016-12-01,2.0,Overall Inflation,0.8412665
239,2016-12-01,2.0,Services Inflation,1.256486
240,2017-11-01,2.0,Overall Inflation,1.017996
241,2017-11-01,2.0,Services Inflation,1.342751
242,2017-12-01,2.0,Overall Inflation,1.052987
243,2017-12-01,2.0,Services Inflation,1.373277
244,2018-01-01,2.0,Overall Inflation,1.02038
245,2018-01-01,2.0,Services Inflation,1.447228
246,2018-02-01,2.0,Overall Inflation,1.028529
247,2018-02-01,2.0,Services Inflation,1.386449
248,2018-03-01,2.0,Overall Inflation,1.052511
249,2018-03-01,2.0,Services Inflation,1.414266
250,2018-04-01,2.0,Overall Inflation,1.052277
251,2018-04-01,2.0,Services Inflation,1.383727
252,2018-05-01,2.0,Overall Inflation,1.067266
253,2018-05-01,2.0,Services Inflation,1.429316
